modelo_id,familia,tag,arquivo,sha256,bytes,imgsz,epochs,metrica,metrica_fonte,quando,origem,copia_canonica
kfcand-lateral-detector-roi/kfold-2/last.pt,kfcand-lateral-detector-roi,kfold-2,last.pt,ca5ac7a4292086b70f12a943ba71a0cbf455505ce672362f052d7ed96035d2fd,6228970,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-2/weights/last.pt,kfcand-lateral-detector-roi/kfold-2/last.pt
kfcand-lateral-detector-roi/kfold-3/best.pt,kfcand-lateral-detector-roi,kfold-3,best.pt,94dd2bae683ab49f0e70fb1a08bea55a570f930f3ffa5eec7576c5b0d8018a07,6228074,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-3/weights/best.pt,kfcand-lateral-detector-roi/kfold-3/best.pt
kfcand-lateral-detector-roi/kfold-3/last.pt,kfcand-lateral-detector-roi,kfold-3,last.pt,a52482608c82ff177c8fbe50d47734be3569f495fc963572e654441876ff632a,6228074,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-3/weights/last.pt,kfcand-lateral-detector-roi/kfold-3/last.pt
kfcand-lateral-detector-roi/kfold-4/best.pt,kfcand-lateral-detector-roi,kfold-4,best.pt,5c5c7ee2db6cbbb11fa60b7abe6c90528fab9042f94d007c4b0e364b56c86b4e,6212586,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-4/weights/best.pt,kfcand-lateral-detector-roi/kfold-4/best.pt
kfcand-lateral-detector-roi/kfold-4/last.pt,kfcand-lateral-detector-roi,kfold-4,last.pt,cc18b831a3f056bcaf0940baa18ec32e6afb1d3faaddfee1da163856cbb1238d,6212586,,,,,,pnaat-modelos/kfcand-lateral-detector-roi/runs/kfold-4/weights/last.pt,kfcand-lateral-detector-roi/kfold-4/last.pt
kfl4-lateral-detector-roi/kfold-0/best.pt,kfl4-lateral-detector-roi,kfold-0,best.pt,92562a9806ad6173fd5001ef8108c2dd9fbba41b3226e5f5fc5403800805c398,6228394,,,,,,pnaat-modelos/kfl4-lateral-detector-roi/runs/kfold-0/weights/best.pt,kfl4-lateral-detector-roi/kfold-0/best.pt
kfl4-lateral-detector-roi/kfold-0/last.pt,kfl4-lateral-detector-roi,kfold-0,last.pt,02e12ebf0dede0f1337badee295ccf4d19ef2017641f3a0b3196ad140809c3f0,6228394,,,,,,pnaat-modelos/kfl4-lateral-detector-roi/runs/kfold-0/weights/last.pt,kfl4-lateral-detector-roi/kfold-0/last.pt
kfl4-lateral-detector-roi/kfold-1/best.pt,kfl4-lateral-detector-roi,kfold-1,best.pt,6bcb3c22a7b91b9fe8e72a227aabb31ba47a2e39ac647c9e36c26fd7c19897c6,24470887,,,,,,pnaat-modelos/kfl4-lateral-detector-roi/runs/kfold-1/weights/best.pt,kfl4-lateral-detector-roi/kfold-1/best.pt
kfl4-lateral-detector-roi/kfold-1/last.pt,kfl4-lateral-detector-roi,kfold-1,last.pt,7947ab1958deec7a2ef10bf5dfc12eff15c6a79a7a8b401f0469af7253e8a0a8,24471143,,,,,,pnaat-modelos/kfl4-lateral-detector-roi/runs/kfold-1/weights/last.pt,kfl4-lateral-detector-roi/kfold-1/last.pt
kflimpo-lateral-detector-roi/kfold-0/best.pt,kflimpo-lateral-detector-roi,kfold-0,best.pt,bd4546f01df8ae6e2bd6265dd0e913ecefe6bb4a759c87a3b8129076b966c87e,6228010,,,,,,pnaat-modelos/kflimpo-lateral-detector-roi/runs/kfold-0/weights/best.pt,kflimpo-lateral-detector-roi/kfold-0/best.pt
